epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1384.07,0.69002,1.45499,0.9118,0.89467,0.89304,0.96397,0.77513,0.65128,1.22571,0.89217,0.000553082,0.000553082,0.000553082
2,2643.94,0.69565,0.84033,0.92097,0.96668,0.92708,0.97725,0.78335,0.66533,0.74974,0.91951,0.0010868,0.0010868,0.0010868
3,4009.87,0.70355,0.65513,0.92805,0.95132,0.93536,0.97999,0.79163,0.65694,0.61265,0.92548,0.0015985,0.0015985,0.0015985
4,5302.22,0.68418,0.57905,0.92346,0.97232,0.95753,0.98821,0.82652,0.60202,0.46872,0.90742,0.00156798,0.00156798,0.00156798
5,11578.2,0.66533,0.51853,0.92038,0.9692,0.97605,0.98978,0.83051,0.6022,0.42655,0.89782,0.00153497,0.00153497,0.00153497
6,12378.2,0.63896,0.47802,0.91013,0.96597,0.96028,0.98665,0.82243,0.64498,0.44816,0.91127,0.00150197,0.00150197,0.00150197
7,14173.4,0.635,0.46237,0.9088,0.97853,0.96178,0.99151,0.84701,0.55762,0.39597,0.88663,0.00146896,0.00146896,0.00146896
8,14863.6,0.62251,0.43676,0.90013,0.98172,0.96832,0.99216,0.84573,0.58148,0.38983,0.89357,0.00143595,0.00143595,0.00143595
9,15554.6,0.6071,0.43202,0.8956,0.97328,0.95667,0.9873,0.85351,0.57531,0.39209,0.89467,0.00140295,0.00140295,0.00140295
10,16234.2,0.60117,0.4231,0.89512,0.98068,0.9696,0.98976,0.85412,0.57076,0.36507,0.87857,0.00136994,0.00136994,0.00136994
11,16931.3,0.59973,0.41097,0.89549,0.97885,0.97122,0.99073,0.86001,0.53965,0.36228,0.86913,0.00133693,0.00133693,0.00133693
12,17607.7,0.58974,0.40174,0.89304,0.97292,0.96865,0.98877,0.86103,0.54784,0.35822,0.87413,0.00130393,0.00130393,0.00130393
13,18522.4,0.58353,0.38954,0.88956,0.99023,0.97583,0.99317,0.85076,0.53936,0.33479,0.86296,0.00127092,0.00127092,0.00127092
14,19784.7,0.5817,0.38801,0.89087,0.98712,0.97314,0.99206,0.86933,0.53206,0.33533,0.86966,0.00123791,0.00123791,0.00123791
15,21056.6,0.57918,0.37771,0.88764,0.98072,0.97334,0.99327,0.87447,0.51216,0.31936,0.86165,0.00120491,0.00120491,0.00120491
16,22318.3,0.5683,0.37546,0.88496,0.98264,0.97866,0.99272,0.85704,0.53142,0.33791,0.86798,0.0011719,0.0011719,0.0011719
17,23203.9,0.56786,0.36916,0.88432,0.98498,0.98191,0.99348,0.88128,0.49934,0.31337,0.85776,0.00113889,0.00113889,0.00113889
18,24844.2,0.56541,0.36447,0.88495,0.98648,0.97961,0.9936,0.8795,0.5078,0.31222,0.86045,0.00110589,0.00110589,0.00110589
19,26501.5,0.55379,0.35236,0.87759,0.97861,0.98356,0.99315,0.87337,0.50302,0.3016,0.85675,0.00107288,0.00107288,0.00107288
20,27925.5,0.55603,0.35071,0.8845,0.98221,0.98262,0.99366,0.88523,0.50433,0.2946,0.85433,0.00103987,0.00103987,0.00103987
21,29346,0.55563,0.34846,0.88394,0.98831,0.97703,0.99222,0.88404,0.49558,0.28946,0.8555,0.00100687,0.00100687,0.00100687
22,30410.8,0.54432,0.33548,0.87884,0.98623,0.97885,0.99377,0.88071,0.49506,0.28557,0.85522,0.000973861,0.000973861,0.000973861
