epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,398.608,0.68326,1.44575,0.91245,0.95609,0.91972,0.97833,0.81464,0.61009,0.80765,0.8857,0.000553082,0.000553082,0.000553082
2,493.978,0.70215,0.82042,0.91997,0.96644,0.94528,0.98025,0.79617,0.64671,0.53435,0.90926,0.0010868,0.0010868,0.0010868
3,585.446,0.69339,0.64125,0.92638,0.93557,0.95536,0.97626,0.7717,0.65546,0.51551,0.92808,0.0015985,0.0015985,0.0015985
4,674.451,0.66501,0.55248,0.92009,0.96024,0.95301,0.98179,0.83162,0.59392,0.45068,0.91425,0.00156798,0.00156798,0.00156798
5,763.593,0.66523,0.5254,0.92002,0.96727,0.96366,0.98123,0.82344,0.58162,0.42869,0.90338,0.00153497,0.00153497,0.00153497
6,851.496,0.64275,0.4794,0.91273,0.97443,0.96964,0.99042,0.8415,0.56994,0.38668,0.89235,0.00150197,0.00150197,0.00150197
7,938.738,0.62253,0.45709,0.90151,0.9845,0.95835,0.98759,0.84224,0.56001,0.36562,0.89446,0.00146896,0.00146896,0.00146896
8,1027.31,0.62289,0.44544,0.89915,0.99014,0.97034,0.99067,0.84545,0.55232,0.36936,0.88339,0.00143595,0.00143595,0.00143595
9,1113.17,0.6148,0.43445,0.90266,0.96084,0.97529,0.98904,0.84605,0.53113,0.36557,0.87582,0.00140295,0.00140295,0.00140295
10,1197.04,0.5989,0.41626,0.90029,0.98442,0.97529,0.99251,0.86758,0.51986,0.32889,0.87599,0.00136994,0.00136994,0.00136994
11,1280.95,0.59519,0.41348,0.89397,0.98555,0.96921,0.99064,0.84767,0.5385,0.3493,0.88187,0.00133693,0.00133693,0.00133693
12,1363.73,0.5834,0.39441,0.89259,0.97309,0.97773,0.99165,0.86264,0.53785,0.34625,0.87648,0.00130393,0.00130393,0.00130393
13,1449.16,0.58197,0.39502,0.89414,0.98534,0.97863,0.99355,0.86819,0.53007,0.32429,0.86985,0.00127092,0.00127092,0.00127092
14,1533.51,0.57358,0.37957,0.88411,0.98003,0.96768,0.9918,0.85905,0.53518,0.33623,0.87134,0.00123791,0.00123791,0.00123791
15,1616.21,0.5702,0.37396,0.88598,0.98775,0.9727,0.99331,0.85292,0.53109,0.32764,0.86909,0.00120491,0.00120491,0.00120491
16,1700.14,0.57346,0.37049,0.88547,0.98801,0.97854,0.99292,0.86833,0.51194,0.31722,0.86791,0.0011719,0.0011719,0.0011719
17,1783.81,0.56696,0.36643,0.88047,0.98788,0.98276,0.99377,0.87862,0.50238,0.30474,0.86218,0.00113889,0.00113889,0.00113889
18,1867.82,0.5548,0.35912,0.8813,0.99006,0.97322,0.99365,0.87836,0.50426,0.3041,0.86672,0.00110589,0.00110589,0.00110589
19,1951.03,0.55159,0.3571,0.88385,0.98104,0.97939,0.99305,0.86988,0.50446,0.2962,0.87921,0.00107288,0.00107288,0.00107288
20,2033.62,0.54309,0.34912,0.88216,0.982,0.98449,0.99317,0.88202,0.49528,0.2957,0.86113,0.00103987,0.00103987,0.00103987
21,2116.67,0.5475,0.34778,0.88064,0.99014,0.97346,0.99346,0.88213,0.48878,0.29672,0.85704,0.00100687,0.00100687,0.00100687
22,2197.53,0.53512,0.33643,0.87669,0.98353,0.97664,0.99203,0.88374,0.47245,0.27983,0.84544,0.000973861,0.000973861,0.000973861
23,2280.8,0.54368,0.34003,0.87746,0.98999,0.9793,0.99383,0.88535,0.48518,0.27434,0.8603,0.000940855,0.000940855,0.000940855
24,2363.24,0.54159,0.33877,0.87749,0.99014,0.98023,0.99341,0.88655,0.48018,0.27982,0.85386,0.000907848,0.000907848,0.000907848
25,2446.57,0.53061,0.33076,0.87447,0.98296,0.98283,0.99303,0.88255,0.48481,0.28172,0.8506,0.000874842,0.000874842,0.000874842
26,2530.57,0.53042,0.3288,0.87369,0.98248,0.98471,0.99295,0.88581,0.49239,0.28705,0.85536,0.000841835,0.000841835,0.000841835
27,2614.6,0.524,0.32653,0.86975,0.98918,0.97897,0.99359,0.88831,0.48057,0.28309,0.84624,0.000808828,0.000808828,0.000808828
28,2699.47,0.51815,0.31465,0.86813,0.99331,0.97749,0.99357,0.88867,0.48137,0.27259,0.84915,0.000775822,0.000775822,0.000775822
29,2781.44,0.52391,0.31661,0.8727,0.9787,0.98441,0.99387,0.88459,0.47236,0.26499,0.85335,0.000742815,0.000742815,0.000742815
30,2865.61,0.51416,0.31244,0.8682,0.98774,0.98117,0.99341,0.89183,0.47156,0.26449,0.84601,0.000709809,0.000709809,0.000709809
31,2950.71,0.51217,0.30392,0.86536,0.99317,0.98179,0.99402,0.89105,0.47928,0.26249,0.8461,0.000676802,0.000676802,0.000676802
32,3033.61,0.51301,0.30821,0.87272,0.98126,0.98617,0.99389,0.89838,0.45515,0.26085,0.84109,0.000643795,0.000643795,0.000643795
33,3117.89,0.50405,0.30418,0.87073,0.98863,0.98227,0.99387,0.89688,0.46202,0.25745,0.84049,0.000610789,0.000610789,0.000610789
34,3200.92,0.50284,0.2987,0.86744,0.98535,0.98532,0.99337,0.89346,0.46383,0.25662,0.84503,0.000577782,0.000577782,0.000577782
35,3284.26,0.50149,0.29402,0.86419,0.98481,0.98804,0.99388,0.89675,0.45753,0.25032,0.84023,0.000544776,0.000544776,0.000544776
36,3367.88,0.49385,0.28976,0.86104,0.99018,0.98485,0.99386,0.89217,0.46609,0.25038,0.84056,0.000511769,0.000511769,0.000511769
37,3450.6,0.49225,0.29081,0.86067,0.98932,0.9807,0.99363,0.89562,0.46279,0.2512,0.84108,0.000478762,0.000478762,0.000478762
38,3535.27,0.48923,0.28365,0.86071,0.98699,0.9846,0.99381,0.90006,0.44802,0.2376,0.83544,0.000445756,0.000445756,0.000445756
39,3619.98,0.48378,0.27714,0.85715,0.98995,0.98651,0.99376,0.90133,0.4559,0.24039,0.83751,0.000412749,0.000412749,0.000412749
40,3702.42,0.48675,0.27659,0.85974,0.9847,0.98755,0.99364,0.90477,0.44832,0.23935,0.83832,0.000379743,0.000379743,0.000379743
41,3784.71,0.44161,0.24403,0.83769,0.98477,0.98693,0.99368,0.90005,0.45372,0.2438,0.83943,0.000346736,0.000346736,0.000346736
42,3861.63,0.43747,0.23791,0.83814,0.99037,0.9812,0.9936,0.89838,0.45924,0.24663,0.84228,0.000313729,0.000313729,0.000313729
43,3938.42,0.4334,0.23712,0.83611,0.98334,0.98832,0.99379,0.90622,0.44941,0.23829,0.83616,0.000280723,0.000280723,0.000280723
44,4016.65,0.43138,0.23665,0.83115,0.98575,0.98756,0.99353,0.90526,0.45187,0.24166,0.83685,0.000247716,0.000247716,0.000247716
45,4093.98,0.4256,0.23425,0.83051,0.98604,0.98619,0.99374,0.90672,0.44702,0.23528,0.83576,0.00021471,0.00021471,0.00021471
46,4172.78,0.41965,0.22584,0.83012,0.98003,0.98981,0.99375,0.90271,0.44578,0.23115,0.83667,0.000181703,0.000181703,0.000181703
47,4250.8,0.41499,0.21979,0.83048,0.98903,0.98084,0.99375,0.90825,0.44537,0.23013,0.83452,0.000148696,0.000148696,0.000148696
48,4327.57,0.40924,0.21603,0.82519,0.98467,0.98658,0.99371,0.90937,0.44159,0.22692,0.83347,0.00011569,0.00011569,0.00011569
49,4404.67,0.40714,0.21188,0.82485,0.98218,0.98893,0.99368,0.90764,0.43973,0.22284,0.83245,8.26832e-05,8.26832e-05,8.26832e-05
50,4481.64,0.39994,0.20925,0.82535,0.98897,0.98256,0.99363,0.91021,0.43693,0.22078,0.8315,4.96766e-05,4.96766e-05,4.96766e-05
